Time,Temp,Pressure
00:55:32,21.16,1012.28
00:55:39,21.15,1012.28
00:55:47,21.15,1012.28
00:55:54,21.15,1012.28
00:56:02,21.15,1012.28
00:56:09,21.15,1012.28
00:56:16,21.15,1012.27
00:56:24,21.15,1012.27
00:56:31,21.14,1012.27
00:56:38,21.14,1012.27
00:56:46,21.14,1012.28
00:56:53,21.14,1012.27
00:57:00,21.14,1012.27
00:57:08,21.14,1012.27
00:57:15,21.14,1012.28
00:57:23,21.14,1012.27
00:57:30,21.14,1012.28
00:57:37,21.14,1012.28
00:57:45,21.14,1012.29
00:57:52,21.14,1012.29
00:57:59,21.14,1012.29
00:58:07,21.14,1012.29
00:58:14,21.14,1012.28
00:58:22,21.14,1012.29
00:58:29,21.14,1012.29
00:58:36,21.15,1012.31
00:58:44,21.15,1012.31
00:58:51,21.15,1012.32
00:58:58,21.15,1012.31
00:59:06,21.15,1012.31
00:59:13,21.15,1012.31
00:59:21,21.15,1012.31
00:59:28,21.15,1012.31
00:59:35,21.15,1012.31
00:59:43,21.16,1012.31
00:59:50,21.16,1012.32
00:59:57,21.16,1012.33
01:00:05,21.16,1012.33
01:00:12,21.16,1012.33
01:00:20,21.16,1012.33
01:00:27,21.15,1012.33
01:00:34,21.15,1012.33
01:00:42,21.15,1012.33
01:00:49,21.16,1012.34
01:00:56,21.16,1012.33
01:01:04,21.16,1012.33
01:01:11,21.16,1012.33
01:01:19,21.16,1012.34
01:01:26,21.16,1012.33
01:01:33,21.15,1012.34
01:01:41,21.15,1012.34
01:01:48,21.15,1012.35
01:01:55,21.15,1012.35
01:02:03,21.15,1012.34
01:02:10,21.16,1012.33
01:02:18,21.16,1012.34
01:02:25,21.16,1012.34
01:02:32,21.15,1012.34
01:02:40,21.15,1012.34
01:02:47,21.15,1012.35
01:02:54,21.15,1012.33
01:03:02,21.15,1012.34
01:03:09,21.14,1012.35
01:03:17,21.14,1012.35
01:03:24,21.14,1012.35
01:03:31,21.14,1012.35
01:03:39,21.14,1012.35
01:03:46,21.14,1012.35
01:03:53,21.14,1012.35
01:04:01,21.14,1012.34
01:04:08,21.14,1012.34
01:04:15,21.14,1012.34
01:04:23,21.14,1012.33
01:04:30,21.14,1012.34
01:04:38,21.14,1012.34
01:04:45,21.14,1012.34
01:04:52,21.14,1012.33
01:05:00,21.13,1012.33
01:05:07,21.14,1012.33
01:05:14,21.14,1012.33
01:05:22,21.14,1012.32
01:05:29,21.14,1012.32
01:05:37,21.14,1012.32
01:05:44,21.13,1012.33
01:05:51,21.13,1012.32
01:05:59,21.13,1012.33
01:06:06,21.13,1012.32
01:06:13,21.13,1012.33
01:06:21,21.13,1012.33
01:06:28,21.12,1012.33
01:06:36,21.12,1012.32
01:06:43,21.12,1012.32
01:06:50,21.12,1012.32
01:06:58,21.12,1012.32
01:07:05,21.13,1012.32
01:07:12,21.12,1012.33
01:07:20,21.12,1012.33
01:07:27,21.12,1012.33
01:07:35,21.12,1012.34
01:07:42,21.12,1012.33
01:07:49,21.12,1012.33
01:07:57,21.12,1012.33
01:08:04,21.12,1012.32
01:08:11,21.12,1012.32
01:08:19,21.12,1012.32
01:08:26,21.12,1012.33
01:08:34,21.12,1012.33
01:08:41,21.11,1012.32
01:08:48,21.11,1012.32
01:08:56,21.11,1012.31
01:09:03,21.10,1012.30
01:09:10,21.10,1012.31
01:09:18,21.10,1012.31
01:09:25,21.10,1012.30
01:09:33,21.10,1012.31
